day,wallet,price
2022-3-17,7516.028767034815,0.32779
2022-3-18,7516.028767034815,0.3249
2022-3-19,7516.028767034815,0.33165
2022-3-20,7455.471034469808,0.33952
2022-3-21,7312.9580543398915,0.33303
2022-3-22,7621.479991292946,0.34708
2022-3-23,7980.068121573613,0.36341
2022-3-24,9083.939849020588,0.41368
2022-3-25,9621.053484456295,0.43814
2022-3-26,8863.47292752531,0.40364
2022-3-27,9402.562860066055,0.42819
2022-3-28,9907.17738755226,0.45117
2022-3-29,9706.25384854013,0.44202
2022-3-30,10412.67026930737,0.47419
2022-3-31,10445.828142958553,0.4757
2022-4-1,9492.594172628867,0.43229
2022-4-2,10523.782084323915,0.47925
2022-4-3,10265.326340698473,0.46748
2022-4-4,10320.882248206746,0.47001
2022-4-5,11212.631419713045,0.51062
2022-4-6,10759.620205525038,0.48999
2022-4-7,9648.502055359593,0.43939
2022-4-8,10150.48152003908,0.46225
2022-4-9,8883.016310008457,0.40453
2022-4-10,9010.65635885042,0.40243
2022-4-11,9010.65635885042,0.36748
2022-4-12,9010.65635885042,0.33551
2022-4-13,9010.65635885042,0.34336
2022-4-14,9010.65635885042,0.35007
2022-4-15,9010.65635885042,0.33711
2022-4-16,9010.65635885042,0.33382
2022-4-17,9010.65635885042,0.33236
2022-4-18,9010.65635885042,0.33247
2022-4-19,9010.65635885042,0.3423
2022-4-20,9010.65635885042,0.34429
2022-4-21,9010.65635885042,0.3415
2022-4-22,9010.65635885042,0.32722
2022-4-23,9010.65635885042,0.31904
2022-4-24,9010.65635885042,0.32722
2022-4-25,9010.65635885042,0.33947
2022-4-26,9010.65635885042,0.33772
2022-4-27,9010.65635885042,0.31059
2022-4-28,9010.65635885042,0.31255
2022-4-29,9010.65635885042,0.30327
2022-4-30,9010.65635885042,0.28037
2022-5-1,9010.65635885042,0.25822
2022-5-2,9010.65635885042,0.27046
2022-5-3,9010.65635885042,0.26047
2022-5-4,9010.65635885042,0.27675
2022-5-5,9010.65635885042,0.29276
2022-5-6,9010.65635885042,0.26765
2022-5-7,9010.65635885042,0.25647
2022-5-8,9010.65635885042,0.25289
2022-5-9,9010.65635885042,0.23053
2022-5-10,9010.65635885042,0.19401
2022-5-11,9010.65635885042,0.19322
2022-5-12,9010.65635885042,0.14969
2022-5-13,9010.65635885042,0.17233
2022-5-14,9010.65635885042,0.15835
2022-5-15,9010.65635885042,0.17686
2022-5-16,9010.65635885042,0.17199
2022-5-17,9010.65635885042,0.18934
2022-5-18,9010.65635885042,0.18336
2022-5-19,9010.65635885042,0.16883
2022-5-20,9010.65635885042,0.17763
2022-5-21,9010.65635885042,0.16802
2022-5-22,9010.65635885042,0.16943
2022-5-23,9010.65635885042,0.17147
2022-5-24,9010.65635885042,0.16654
2022-5-25,9010.65635885042,0.165
2022-5-26,9010.65635885042,0.1586
2022-5-27,9010.65635885042,0.14521
2022-5-28,9010.65635885042,0.14213
2022-5-29,9010.65635885042,0.16313
2022-5-30,9010.65635885042,0.16665
2022-5-31,9010.65635885042,0.17147
2022-6-1,8829.287987451786,0.16638
2022-6-2,8005.15742821915,0.15085
2022-6-3,8288.216908036005,0.16336
2022-6-4,8288.216908036005,0.14957
2022-6-5,8288.216908036005,0.14627
2022-6-6,8288.216908036005,0.15322
2022-6-7,8288.216908036005,0.14109
2022-6-8,8288.216908036005,0.15175
2022-6-9,8288.216908036005,0.15158
2022-6-10,8288.216908036005,0.15992
2022-6-11,8288.216908036005,0.14933
2022-6-12,8288.216908036005,0.12804
2022-6-13,8288.216908036005,0.11136
2022-6-14,8288.216908036005,0.10975
2022-6-15,8288.216908036005,0.10458
2022-6-16,8288.216908036005,0.10665
2022-6-17,8288.216908036005,0.080107
2022-6-18,8288.216908036005,0.08063
2022-6-19,8288.216908036005,0.072954
2022-6-20,8288.216908036005,0.076159
2022-6-21,8288.216908036005,0.081793
2022-6-22,8288.216908036005,0.081437
2022-6-23,8288.216908036005,0.081673
2022-6-24,8288.216908036005,0.083573
2022-6-25,8288.216908036005,0.089736
2022-6-26,8288.216908036005,0.092579
2022-6-27,8288.216908036005,0.084656
2022-6-28,8288.216908036005,0.081495
2022-6-29,8288.216908036005,0.076828
2022-6-30,8288.216908036005,0.075607
2022-7-1,8288.216908036005,0.073633
2022-7-2,8288.216908036005,0.072914
2022-7-3,8288.216908036005,0.074906
2022-7-4,8288.216908036005,0.072803
2022-7-5,8288.216908036005,0.075695
2022-7-6,8288.216908036005,0.074954
2022-7-7,8288.216908036005,0.077081
2022-7-8,8288.216908036005,0.081151
2022-7-9,8288.216908036005,0.079738
2022-7-10,8281.629275493411,0.079744
2022-7-11,7842.851640950879,0.075519
2022-7-12,7450.807718963174,0.071744
2022-7-13,7509.488267477096,0.069397
2022-7-14,7509.488267477096,0.07725
2022-7-15,7509.488267477096,0.077022
2022-7-16,7509.488267477096,0.078102
2022-7-17,7552.239651551692,0.080756
2022-7-18,7597.783520865498,0.081243
2022-7-19,8036.388751012823,0.085933
2022-7-20,7956.429801806861,0.085078
2022-7-21,7572.907403334753,0.080977
2022-7-22,7980.74480390458,0.085338
2022-7-23,7792.864653080279,0.083329
2022-7-24,7751.996745708341,0.082892
2022-7-25,7557.5702481654225,0.080813
2022-7-26,7151.790270850019,0.076474
2022-7-27,7136.785052867018,0.075338
2022-7-28,7136.785052867018,0.081542
2022-7-29,7136.785052867018,0.089035
2022-7-30,7246.906981827338,0.088086
2022-7-31,7191.127369474876,0.087408
2022-8-1,8264.10333452031,0.10045
2022-8-2,7560.934681457642,0.091903
2022-8-3,7654.147514489115,0.093036
2022-8-4,8003.469393616773,0.097282
2022-8-5,8177.143083404452,0.099393
2022-8-6,8354.601230667373,0.10155
2022-8-7,8301.125201125928,0.1009
2022-8-8,8634.322000576472,0.10495
2022-8-9,8399.027470594112,0.10209
2022-8-10,7647.565849314783,0.092956
2022-8-11,8305.238741859885,0.10095
2022-8-12,8051.762361833433,0.097869
2022-8-13,8595.654717677273,0.10448
2022-8-14,8377.637058777535,0.10183
2022-8-15,8169.6564392686505,0.099302
2022-8-16,9038.271700651083,0.10986
2022-8-17,8779.11863441177,0.10671
2022-8-18,8186.686497907233,0.099509
2022-8-19,7348.922792029481,0.089326
2022-8-20,7042.464007349658,0.085601
2022-8-21,7036.3370636632635,0.088501
2022-8-22,7036.3370636632635,0.088201
2022-8-23,7036.3370636632635,0.090188
2022-8-24,7036.3370636632635,0.089773
2022-8-25,7036.3370636632635,0.090904
2022-8-26,7036.3370636632635,0.09044
2022-8-27,7036.3370636632635,0.085653
2022-8-28,7036.3370636632635,0.083955
2022-8-29,7036.3370636632635,0.080241
2022-8-30,7036.3370636632635,0.083987
2022-8-31,7036.3370636632635,0.083506
2022-9-1,7036.3370636632635,0.080877
2022-9-2,7036.3370636632635,0.08221
2022-9-3,7036.3370636632635,0.08034
2022-9-4,7036.3370636632635,0.081341
2022-9-5,7036.3370636632635,0.082323
2022-9-6,7036.3370636632635,0.082753
2022-9-7,7036.3370636632635,0.076755
2022-9-8,7036.3370636632635,0.094497
2022-9-9,7081.325623380375,0.095184
2022-9-10,7012.5091605123835,0.094259
2022-9-11,7128.195214306681,0.095814
2022-9-12,6970.921698087295,0.0937
2022-9-13,6752.643317487635,0.090766
2022-9-14,6465.9204549003525,0.086912
2022-9-15,6765.811440652645,0.090943
2022-9-16,6632.791077833221,0.089155
2022-9-17,6575.806179580685,0.089687
2022-9-18,6575.806179580685,0.087363
2022-9-19,6575.806179580685,0.081082
2022-9-20,6575.806179580685,0.082431
2022-9-21,6575.806179580685,0.083976
2022-9-22,6575.806179580685,0.081008
2022-9-23,6575.806179580685,0.084838
2022-9-24,6575.806179580685,0.084522
2022-9-25,6575.806179580685,0.082679
2022-9-26,6575.806179580685,0.079948
2022-9-27,6575.806179580685,0.083388
2022-9-28,6575.806179580685,0.080487
2022-9-29,6575.806179580685,0.083751
2022-9-30,6575.806179580685,0.082304
2022-10-1,6575.806179580685,0.08262
2022-10-2,6575.806179580685,0.081201
2022-10-3,6575.806179580685,0.079736
2022-10-4,6575.806179580685,0.080687
2022-10-5,6575.806179580685,0.082307
2022-10-6,6575.806179580685,0.081884
2022-10-7,6575.806179580685,0.080511
2022-10-8,6575.806179580685,0.08022
